state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Tamil Nadu,Ernakulam,Market C,Cashew,Whole,23/03/2025,19289,31855,20968
Karnataka,Coimbatore,Market E,Arecanut,Bold,27/09/2024,4905,6940,5352
Goa,Mysuru,Market E,Cardamom,Local,03/05/2024,27062,39293,37709
Karnataka,Srinagar,Market B,Turmeric,Hybrid,31/12/2024,37463,51224,37569
Assam,Srinagar,Market C,Apple,Fresh,21/06/2024,29221,42230,34735
Tamil Nadu,Coimbatore,Market D,Banana,Processed,28/10/2024,46082,56473,50415
Kerala,Kohima,Market E,Banana,Raw,17/07/2024,11328,20872,16131
Maharashtra,Gangtok,Market E,Cashew,Rasthali,11/10/2024,7006,18340,10739
Himachal Pradesh,Coimbatore,Market B,Banana,Raw,18/04/2025,37434,45362,42641
Sikkim,Kamrup,Market C,Black Pepper,Whole,15/10/2024,88841,93715,89425
Maharashtra,Kamrup,Market E,Cashew,Fresh,16/11/2024,61589,68305,63800
Karnataka,North Goa,Market C,Cardamom,Whole,16/04/2025,5207,18896,10375
Jammu & Kashmir,Shimla,Market A,Cashew,Hybrid,30/07/2024,95098,100753,96839
Nagaland,Srinagar,Market D,Ginger,Red Delicious,24/05/2024,19301,23841,23716
Himachal Pradesh,Pune,Market D,Onion,Raw,26/09/2024,48447,52540,52532
Assam,Mysuru,Market D,Banana,Bold,14/11/2024,15371,18375,17941
Assam,Srinagar,Market E,Banana,Raw,08/07/2024,51019,61282,58687
Karnataka,Shimla,Market E,Cardamom,Rasthali,07/05/2024,90353,105349,99150
Himachal Pradesh,Gangtok,Market A,Apple,Raw,27/05/2024,21730,29663,21756
Himachal Pradesh,Mysuru,Market B,Tomato,Rasthali,31/12/2024,82959,88348,88193
Karnataka,Pune,Market B,Ginger,Processed,07/11/2024,22174,31511,30863
Kerala,Pune,Market C,Turmeric,Bold,08/04/2025,15662,22109,18181
Goa,Ernakulam,Market B,Onion,Rasthali,15/04/2025,12226,24717,20188
Tamil Nadu,Mysuru,Market B,Ginger,Premium,07/05/2024,73063,76268,74148
Karnataka,Pune,Market D,Cashew,Local,14/02/2025,99994,112453,111296
Goa,Shimla,Market D,Black Pepper,Premium,16/04/2025,68839,76736,69830
Goa,North Goa,Market A,Black Pepper,Bold,24/11/2024,78110,87685,81880
Maharashtra,North Goa,Market A,Banana,Bold,11/09/2024,31007,32611,31071
Sikkim,Coimbatore,Market E,Cashew,Red Delicious,12/01/2025,88684,97137,92194
Karnataka,Kamrup,Market E,Onion,Premium,14/09/2024,32850,46205,40599
Jammu & Kashmir,North Goa,Market A,Banana,Raw,17/06/2024,47438,54877,50805
Nagaland,Ernakulam,Market A,Cardamom,Raw,02/01/2025,96448,102507,97343
Goa,North Goa,Market B,Tomato,Premium,07/09/2024,19373,26785,20876
Himachal Pradesh,Kohima,Market B,Banana,Premium,11/12/2024,73132,75236,73339
Karnataka,Ernakulam,Market A,Cashew,Fresh,13/11/2024,54269,62725,62155
Goa,Srinagar,Market A,Ginger,Raw,19/12/2024,1282,8178,3454
Nagaland,Shimla,Market D,Tomato,Premium,14/12/2024,21289,24900,22504
Goa,Ernakulam,Market E,Tomato,Bold,23/01/2025,99038,104676,99506
Kerala,Pune,Market D,Tomato,Local,03/09/2024,21635,23066,22675
Tamil Nadu,Kamrup,Market A,Onion,Rasthali,23/10/2024,89501,104121,93354
Jammu & Kashmir,Coimbatore,Market E,Cashew,Hybrid,16/02/2025,78924,80075,79091
Jammu & Kashmir,Pune,Market E,Tomato,Processed,20/08/2024,35179,39025,37922
Sikkim,North Goa,Market C,Arecanut,Fresh,13/07/2024,89039,100114,93954
Nagaland,Gangtok,Market A,Cardamom,Premium,19/01/2025,82416,92140,84054
Tamil Nadu,Mysuru,Market B,Tomato,Red Delicious,26/09/2024,18361,24579,18924
Goa,Gangtok,Market C,Ginger,Premium,17/11/2024,72200,84226,77156
Maharashtra,Mysuru,Market A,Tomato,Red Delicious,02/02/2025,87951,90148,88501
Himachal Pradesh,Coimbatore,Market A,Tomato,Fresh,25/01/2025,36697,41813,41651
Goa,Gangtok,Market B,Apple,Local,03/11/2024,65032,69646,65448
Tamil Nadu,Srinagar,Market C,Cardamom,Bold,23/03/2025,44719,57853,46862
Himachal Pradesh,Kamrup,Market D,Tomato,Raw,08/07/2024,74519,75177,74633
Tamil Nadu,Kamrup,Market E,Cardamom,Processed,29/05/2024,77350,86902,79776
